ID,question,choice_a,choice_b,choice_c,answer,coding_language,category,method
493,When is the unless clause executed in Ruby?,When the condition is true.,When the condition is false.,It is always executed.,B,Ruby,control flow,multiple choice
494,What is the purpose of the retry keyword in Ruby?,It repeats the loop from the beginning.,It exits the loop.,It raises an error.,A,Ruby,control flow,multiple choice
495,How do you define a one-line conditional statement in Ruby?,if condition then code end,if condition { code },code if condition,C,Ruby,control flow,multiple choice
496,What does the unless keyword in Ruby typically work well with?,Positive conditions,Negative conditions,Nested loops,B,Ruby,control flow,multiple choice
497,"In Ruby, which keyword is used to prematurely exit a loop iteration and jump to the next iteration?",next,redo,break,A,Ruby,control flow,multiple choice
498,What is the purpose of the while keyword in Ruby?,It defines a block of code that always executes.,"It specifies a condition that, if true, allows code to execute.",It defines a class.,B,Ruby,control flow,multiple choice
499,Which keyword is used in Ruby to catch and handle exceptions?,try,exception,begin,C,Ruby,control flow,multiple choice
500,What is the purpose of the case statement in Ruby?,It creates a switch statement to select between multiple code blocks.,It defines a class.,It combines multiple conditions in a single if statement.,A,Ruby,control flow,multiple choice
501,How do you create an empty array in Ruby?,array = [],array = {},array = new Array(),A,Ruby,declaration,multiple choice
502,What is the correct way to declare a variable in Ruby?,variable x;,var x = 5;,x = 5,C,Ruby,declaration,multiple choice
503,Which of the following is a valid way to declare an empty array in Ruby?,array = new Array(),array = {},array = [],C,Ruby,declaration,multiple choice
504,How do you declare a constant variable in Ruby?,ConstantVar = 42,constant_var: 42,constVar => 42,A,Ruby,declaration,multiple choice
505,What is the correct syntax for declaring and initializing a Ruby hash (dictionary)?,hash = {},hash = [],hash = new Hash(),A,Ruby,declaration,multiple choice
506,"To declare a variable in Ruby with global scope, you would prefix the variable name with:",@,#,$,C,Ruby,declaration,multiple choice
507,How do you declare a local variable in Ruby within a method or block?,@local_var,$local_var,local_var,C,Ruby,declaration,multiple choice
508,What is the correct way to declare a class variable in Ruby?,@class_var,@@class_var,#class_var,B,Ruby,declaration,multiple choice
509,"In Ruby, how would you declare a string containing special characters without interpreting them?",raw_string',"""raw_string""",%q(raw_string),A,Ruby,declaration,multiple choice
510,"To declare a range of numbers from 1 to 10 in Ruby, you would use:",(1..10),"[1, 10]","{1, 10}",A,Ruby,declaration,multiple choice
511,"When declaring a symbol in Ruby, which syntax is typically used?",:SymbolName,"""SymbolName""",@SymbolName,A,Ruby,declaration,multiple choice
512,How do you declare a variable in Ruby with instance scope within a class or module?,@instance_var,#instance_var,$instance_var,A,Ruby,declaration,multiple choice
513,Which syntax is used to declare a new instance of a class in Ruby?,new ClassName(),ClassName.new(),ClassName.create(),B,Ruby,declaration,multiple choice
514,What is the correct way to declare an empty set (a unique collection of elements) in Ruby?,set = [],set = {},set = Set.new,C,Ruby,declaration,multiple choice
515,"To declare a multi-line string in Ruby without interpreting escape sequences, which syntax should you use?",raw_string',"""raw_string""",<<-EOT ... EOT,C,Ruby,declaration,multiple choice
516,"When declaring a local variable in a method or block, which character is used to scope the variable to the block?",@,#,$,B,Ruby,declaration,multiple choice
517,"In Ruby, which data structure allows you to associate keys with values and is similar to a Python dictionary?",Array,Tuple,Hash,C,Ruby,declaration,multiple choice
518,"To declare an empty array and assign it to a variable named ""my_array"" in a single line, you would write:",my_array = [],array my_array = [],my_array = new Array(),A,Ruby,declaration,multiple choice
519,How do you declare a constant variable within a class or module in Ruby?,constant_var: 42,constVar => 42,CONSTANT_VAR = 42,C,Ruby,declaration,multiple choice
520,"To declare a string containing interpolation (variable substitution) in Ruby, which syntax is commonly used?",String without interpolation',"""String with #{variable} interpolation""",%q(String without interpolation),B,Ruby,declaration,multiple choice
521,"To add an element to the end of an array in Ruby, you would use:",array.add(element),"array.insert(0, element)",array << element,C,Ruby,data structures,multiple choice
522,"In a singly linked list, what is the name of the reference to the next node?",next_node,prev_node,next,A,Ruby,data structures,multiple choice
523,How can you remove the last element from an array in Ruby?,array.pop,array.shift,array.delete(-1),A,Ruby,data structures,multiple choice
524,"In a binary tree, the top node is commonly referred to as the:",Root,Leaf,Branch,A,Ruby,data structures,multiple choice
525,What data structure in Ruby is similar to a stack and follows the Last-In-First-Out (LIFO) principle?,Queue,Array,Hash,B,Ruby,data structures,multiple choice
526,Which Ruby data structure allows key-value pairs and does not allow duplicate keys?,Array,Hash,Set,B,Ruby,data structures,multiple choice
527,What method is used to add an element to the beginning of an array in Ruby?,array.unshift(element),array.addFirst(element),array.push(element),A,Ruby,data structures,multiple choice
528,Which data structure is used to represent a collection of elements with no specific order or duplicates in Ruby?,Queue,Set,Hash,B,Ruby,data structures,multiple choice
529,How do you check if a key exists in a Ruby hash?,hash.exists?(key),hash.contains?(key),hash.key?(key),C,Ruby,data structures,multiple choice
530,What is the primary data structure in Ruby for storing key-value pairs?,List,Hash,Stack,B,Ruby,data structures,multiple choice
531,Which method is used to remove the first element from an array in Ruby?,array.pop,array.shift,array.delete(0),B,Ruby,data structures,multiple choice
532,"In a singly linked list, which node is typically used as the entry point to traverse the list?",Head,Tail,Root,A,Ruby,data structures,multiple choice
533,What is the Ruby data structure that represents an ordered collection of elements with duplicates allowed?,Set,Queue,Array,C,Ruby,data structures,multiple choice
534,Which data structure in Ruby is used to implement a First-In-First-Out (FIFO) order?,Stack,Hash,Queue,C,Ruby,data structures,multiple choice
535,"To add an element to the end of an array in Ruby, which method is commonly used?",array.push(element),"array.insert(-1, element)",array.last(element),A,Ruby,data structures,multiple choice
536,"In a binary tree, what is the maximum number of children a node can have in a typical binary tree?",1,2,3,B,Ruby,data structures,multiple choice
537,Which Ruby data structure is used to represent an unordered collection of unique elements?,Hash,Array,Set,C,Ruby,data structures,multiple choice
538,What method is used to check if an element is included in an array in Ruby?,array.exists?(element),array.includes?(element),array.include?(element),C,Ruby,data structures,multiple choice
539,"In a linked list, what is the time complexity for inserting an element at the end of the list?",O(1),O(Log N),O(N),A,Ruby,data structures,multiple choice
540,"In a binary search tree, which property ensures that all nodes in the left subtree are less than the root node, and all nodes in the right subtree are greater than the root node?",Balanced property,Heap property,Binary search tree property,C,Ruby,data structures,multiple choice
541,Which of the following keywords is used to define a loop in Ruby?,null,null,null,while,Ruby,control flow,flash card
542,What does the break keyword do in a loop in Ruby?,null,null,null,Exits the loop prematurely.,Ruby,control flow,flash card
543,"In Ruby, which keyword is used to define a conditional branch?",null,null,null,if,Ruby,control flow,flash card
544,What is the purpose of the else clause in an if statement in Ruby?,null,null,null,To execute a block of code if the condition is false.,Ruby,control flow,flash card
545,"In Ruby, what is the scope of a local variable defined inside a block or method?",null,null,null,Block or method scope,Ruby,control flow,flash card
546,Which of the following loops in Ruby will always execute at least once?,null,null,null,until,Ruby,control flow,flash card
547,What is the purpose of the next keyword in a loop in Ruby?,null,null,null,Skips the current iteration and continues with the next.,Ruby,control flow,flash card
548,"In Ruby, what does the elsif keyword allow you to do in an if statement?",null,null,null,Combine multiple conditions in a single if statement.,Ruby,control flow,flash card
549,Which keyword is used to define a method in Ruby?,null,null,null,def,Ruby,control flow,flash card
550,What does the case keyword allow you to do in Ruby?,null,null,null,Create a switch statement for multiple conditional branches.,Ruby,control flow,flash card
551,"In Ruby, which loop is used to iterate over a collection of elements like an array or a range?",null,null,null,each,Ruby,control flow,flash card
552,What does the unless keyword do in Ruby?,null,null,null,It reverses the meaning of an if condition.,Ruby,control flow,flash card
553,When is the unless clause executed in Ruby?,null,null,null,When the condition is false.,Ruby,control flow,flash card
554,What is the purpose of the retry keyword in Ruby?,null,null,null,It repeats the loop from the beginning.,Ruby,control flow,flash card
555,How do you define a one-line conditional statement in Ruby?,null,null,null,code if condition,Ruby,control flow,flash card
556,What does the unless keyword in Ruby typically work well with?,null,null,null,Negative conditions,Ruby,control flow,flash card
557,"In Ruby, which keyword is used to prematurely exit a loop iteration and jump to the next iteration?",null,null,null,next,Ruby,control flow,flash card
558,What is the purpose of the while keyword in Ruby?,null,null,null,"It specifies a condition that, if true, allows code to execute.",Ruby,control flow,flash card
559,Which keyword is used in Ruby to catch and handle exceptions?,null,null,null,begin,Ruby,control flow,flash card
560,What is the purpose of the case statement in Ruby?,null,null,null,It creates a switch statement to select between multiple code blocks.,Ruby,control flow,flash card
561,How do you create an empty array in Ruby?,null,null,null,array = [],Ruby,declaration,flash card
562,What is the correct way to declare a variable in Ruby?,null,null,null,x = 5,Ruby,declaration,flash card
563,Which of the following is a valid way to declare an empty array in Ruby?,null,null,null,array = [],Ruby,declaration,flash card
564,How do you declare a constant variable in Ruby?,null,null,null,ConstantVar = 42,Ruby,declaration,flash card
565,What is the correct syntax for declaring and initializing a Ruby hash (dictionary)?,null,null,null,hash = {},Ruby,declaration,flash card
566,"To declare a variable in Ruby with global scope, you would prefix the variable name with:",null,null,null,$,Ruby,declaration,flash card
567,How do you declare a local variable in Ruby within a method or block?,null,null,null,local_var,Ruby,declaration,flash card
568,What is the correct way to declare a class variable in Ruby?,null,null,null,@@class_var,Ruby,declaration,flash card
569,"In Ruby, how would you declare a string containing special characters without interpreting them?",null,null,null,raw_string',Ruby,declaration,flash card
570,"To declare a range of numbers from 1 to 10 in Ruby, you would use:",null,null,null,(1..10),Ruby,declaration,flash card
571,"When declaring a symbol in Ruby, which syntax is typically used?",null,null,null,:SymbolName,Ruby,declaration,flash card
572,How do you declare a variable in Ruby with instance scope within a class or module?,null,null,null,@instance_var,Ruby,declaration,flash card
573,Which syntax is used to declare a new instance of a class in Ruby?,null,null,null,ClassName.new(),Ruby,declaration,flash card
574,What is the correct way to declare an empty set (a unique collection of elements) in Ruby?,null,null,null,set = Set.new,Ruby,declaration,flash card
575,"To declare a multi-line string in Ruby without interpreting escape sequences, which syntax should you use?",null,null,null,<<-EOT ... EOT,Ruby,declaration,flash card
576,"When declaring a local variable in a method or block, which character is used to scope the variable to the block?",null,null,null,#,Ruby,declaration,flash card
577,"In Ruby, which data structure allows you to associate keys with values and is similar to a Python dictionary?",null,null,null,Hash,Ruby,declaration,flash card
578,"To declare an empty array and assign it to a variable named ""my_array"" in a single line, you would write:",null,null,null,my_array = [],Ruby,declaration,flash card
579,How do you declare a constant variable within a class or module in Ruby?,null,null,null,CONSTANT_VAR = 42,Ruby,declaration,flash card
580,"To declare a string containing interpolation (variable substitution) in Ruby, which syntax is commonly used?",null,null,null,"""String with #{variable} interpolation""",Ruby,declaration,flash card
581,"To add an element to the end of an array in Ruby, you would use:",null,null,null,array << element,Ruby,data structures,flash card
582,"In a singly linked list, what is the name of the reference to the next node?",null,null,null,next_node,Ruby,data structures,flash card
583,How can you remove the last element from an array in Ruby?,null,null,null,array.pop,Ruby,data structures,flash card
584,"In a binary tree, the top node is commonly referred to as the:",null,null,null,Root,Ruby,data structures,flash card
585,What data structure in Ruby is similar to a stack and follows the Last-In-First-Out (LIFO) principle?,null,null,null,Array,Ruby,data structures,flash card
586,Which Ruby data structure allows key-value pairs and does not allow duplicate keys?,null,null,null,Hash,Ruby,data structures,flash card
587,What method is used to add an element to the beginning of an array in Ruby?,null,null,null,array.unshift(element),Ruby,data structures,flash card
588,Which data structure is used to represent a collection of elements with no specific order or duplicates in Ruby?,null,null,null,Set,Ruby,data structures,flash card
589,How do you check if a key exists in a Ruby hash?,null,null,null,hash.key?(key),Ruby,data structures,flash card
590,What is the primary data structure in Ruby for storing key-value pairs?,null,null,null,Hash,Ruby,data structures,flash card
591,Which method is used to remove the first element from an array in Ruby?,null,null,null,array.shift,Ruby,data structures,flash card
592,"In a singly linked list, which node is typically used as the entry point to traverse the list?",null,null,null,Head,Ruby,data structures,flash card
593,What is the Ruby data structure that represents an ordered collection of elements with duplicates allowed?,null,null,null,Array,Ruby,data structures,flash card
594,Which data structure in Ruby is used to implement a First-In-First-Out (FIFO) order?,null,null,null,Queue,Ruby,data structures,flash card
595,"To add an element to the end of an array in Ruby, which method is commonly used?",null,null,null,array.push(element),Ruby,data structures,flash card
596,"In a binary tree, what is the maximum number of children a node can have in a typical binary tree?",null,null,null,2,Ruby,data structures,flash card
597,Which Ruby data structure is used to represent an unordered collection of unique elements?,null,null,null,Set,Ruby,data structures,flash card
598,What method is used to check if an element is included in an array in Ruby?,null,null,null,array.include?(element),Ruby,data structures,flash card
599,"In a linked list, what is the time complexity for inserting an element at the end of the list?",null,null,null,O(1),Ruby,data structures,flash card
600,"In a binary search tree, which property ensures that all nodes in the left subtree are less than the root node, and all nodes in the right subtree are greater than the root node?",null,null,null,Binary search tree property,Ruby,data structures,flash card
601,Which of the following keywords is used to define a loop in Ruby?,while,null,null,TRUE,Ruby,control flow,truefalse
602,Which of the following keywords is used to define a loop in Ruby?,loop,null,null,FALSE,Ruby,control flow,truefalse
603,What does the break keyword do in a loop in Ruby?,Exits the loop prematurely.,null,null,TRUE,Ruby,control flow,truefalse
604,What does the break keyword do in a loop in Ruby?,Continues to the next iteration of the loop.,null,null,FALSE,Ruby,control flow,truefalse
605,"In Ruby, which keyword is used to define a conditional branch?",if,null,null,TRUE,Ruby,control flow,truefalse
606,"In Ruby, which keyword is used to define a conditional branch?",switch,null,null,FALSE,Ruby,control flow,truefalse
607,What is the purpose of the else clause in an if statement in Ruby?,To execute a block of code if the condition is false.,null,null,TRUE,Ruby,control flow,truefalse
608,What is the purpose of the else clause in an if statement in Ruby?,To execute a block of code if the condition is true.,null,null,FALSE,Ruby,control flow,truefalse
609,"In Ruby, what is the scope of a local variable defined inside a block or method?",Block or method scope,null,null,TRUE,Ruby,control flow,truefalse
610,"In Ruby, what is the scope of a local variable defined inside a block or method?",Global scope,null,null,FALSE,Ruby,control flow,truefalse
611,Which of the following loops in Ruby will always execute at least once?,until,null,null,TRUE,Ruby,control flow,truefalse
612,What is the purpose of the next keyword in a loop in Ruby?,Skips the current iteration and continues with the next.,null,null,TRUE,Ruby,control flow,truefalse
613,"In Ruby, what does the elsif keyword allow you to do in an if statement?",Combine multiple conditions in a single if statement.,null,null,TRUE,Ruby,control flow,truefalse
614,Which keyword is used to define a method in Ruby?,def,null,null,TRUE,Ruby,control flow,truefalse
615,What does the case keyword allow you to do in Ruby?,Create a switch statement for multiple conditional branches.,null,null,TRUE,Ruby,control flow,truefalse
616,Which of the following loops in Ruby will always execute at least once?,while,null,null,FALSE,Ruby,control flow,truefalse
617,What is the purpose of the next keyword in a loop in Ruby?,Ends the loop.,null,null,FALSE,Ruby,control flow,truefalse
618,"In Ruby, what does the elsif keyword allow you to do in an if statement?",Define a new if statement within another if statement.,null,null,FALSE,Ruby,control flow,truefalse
619,Which keyword is used to define a method in Ruby?,define,null,null,FALSE,Ruby,control flow,truefalse
620,What does the case keyword allow you to do in Ruby?,Define a class.,null,null,FALSE,Ruby,control flow,truefalse
621,How do you create an empty array in Ruby?,array = [],null,null,TRUE,Ruby,declaration,truefalse
622,What is the correct way to declare a variable in Ruby?,x = 5,null,null,TRUE,Ruby,declaration,truefalse
623,Which of the following is a valid way to declare an empty array in Ruby?,array = [],null,null,TRUE,Ruby,declaration,truefalse
624,How do you declare a constant variable in Ruby?,ConstantVar = 42,null,null,TRUE,Ruby,declaration,truefalse
625,What is the correct syntax for declaring and initializing a Ruby hash (dictionary)?,hash = {},null,null,TRUE,Ruby,declaration,truefalse
626,"To declare a variable in Ruby with global scope, you would prefix the variable name with:",$,null,null,TRUE,Ruby,declaration,truefalse
627,How do you declare a local variable in Ruby within a method or block?,local_var,null,null,TRUE,Ruby,declaration,truefalse
628,What is the correct way to declare a class variable in Ruby?,@@class_var,null,null,TRUE,Ruby,declaration,truefalse
629,"In Ruby, how would you declare a string containing special characters without interpreting them?",raw_string',null,null,TRUE,Ruby,declaration,truefalse
630,"To declare a range of numbers from 1 to 10 in Ruby, you would use:",(1..10),null,null,TRUE,Ruby,declaration,truefalse
631,How do you create an empty array in Ruby?,array = new Array(),null,null,FALSE,Ruby,declaration,truefalse
632,What is the correct way to declare a variable in Ruby?,variable x;,null,null,FALSE,Ruby,declaration,truefalse
633,Which of the following is a valid way to declare an empty array in Ruby?,array = new Array(),null,null,FALSE,Ruby,declaration,truefalse
634,How do you declare a constant variable in Ruby?,constVar => 42,null,null,FALSE,Ruby,declaration,truefalse
635,What is the correct syntax for declaring and initializing a Ruby hash (dictionary)?,hash = new Hash(),null,null,FALSE,Ruby,declaration,truefalse
636,"To declare a variable in Ruby with global scope, you would prefix the variable name with:",@,null,null,FALSE,Ruby,declaration,truefalse
637,How do you declare a local variable in Ruby within a method or block?,@local_var,null,null,FALSE,Ruby,declaration,truefalse
638,What is the correct way to declare a class variable in Ruby?,@class_var,null,null,FALSE,Ruby,declaration,truefalse
639,"In Ruby, how would you declare a string containing special characters without interpreting them?",%q(raw_string),null,null,FALSE,Ruby,declaration,truefalse
640,"To declare a range of numbers from 1 to 10 in Ruby, you would use:","{1, 10}",null,null,FALSE,Ruby,declaration,truefalse
641,"To add an element to the end of an array in Ruby, you would use:",array << element,null,null,TRUE,Ruby,data structures,truefalse
642,"In a singly linked list, what is the name of the reference to the next node?",next_node,null,null,TRUE,Ruby,data structures,truefalse
643,How can you remove the last element from an array in Ruby?,array.pop,null,null,TRUE,Ruby,data structures,truefalse
644,"In a binary tree, the top node is commonly referred to as the:",Root,null,null,TRUE,Ruby,data structures,truefalse
645,What data structure in Ruby is similar to a stack and follows the Last-In-First-Out (LIFO) principle?,Array,null,null,TRUE,Ruby,data structures,truefalse
646,Which Ruby data structure allows key-value pairs and does not allow duplicate keys?,Hash,null,null,TRUE,Ruby,data structures,truefalse
647,What method is used to add an element to the beginning of an array in Ruby?,array.unshift(element),null,null,TRUE,Ruby,data structures,truefalse
648,Which data structure is used to represent a collection of elements with no specific order or duplicates in Ruby?,Set,null,null,TRUE,Ruby,data structures,truefalse
649,How do you check if a key exists in a Ruby hash?,hash.key?(key),null,null,TRUE,Ruby,data structures,truefalse
650,What is the primary data structure in Ruby for storing key-value pairs?,Hash,null,null,TRUE,Ruby,data structures,truefalse
651,"To add an element to the end of an array in Ruby, you would use:",array.add(element),null,null,FALSE,Ruby,data structures,truefalse
652,"In a singly linked list, what is the name of the reference to the next node?",next,null,null,FALSE,Ruby,data structures,truefalse
653,How can you remove the last element from an array in Ruby?,array.delete(-1),null,null,FALSE,Ruby,data structures,truefalse
654,"In a binary tree, the top node is commonly referred to as the:",Branch,null,null,FALSE,Ruby,data structures,truefalse
655,What data structure in Ruby is similar to a stack and follows the Last-In-First-Out (LIFO) principle?,Queue,null,null,FALSE,Ruby,data structures,truefalse
656,Which Ruby data structure allows key-value pairs and does not allow duplicate keys?,Array,null,null,FALSE,Ruby,data structures,truefalse
657,What method is used to add an element to the beginning of an array in Ruby?,array.push(element),null,null,FALSE,Ruby,data structures,truefalse
658,Which data structure is used to represent a collection of elements with no specific order or duplicates in Ruby?,Queue,null,null,FALSE,Ruby,data structures,truefalse
659,How do you check if a key exists in a Ruby hash?,hash.exists?(key),null,null,FALSE,Ruby,data structures,truefalse
660,What is the primary data structure in Ruby for storing key-value pairs?,List,null,null,FALSE,Ruby,data structures,truefalse
661,Which of the following keywords is used to define a loop in Ruby?,null,null,null,while,Ruby,control flow,fill in the blank
662,What does the break keyword do in a loop in Ruby?,null,null,null,Exits the loop prematurely.,Ruby,control flow,fill in the blank
663,"In Ruby, which keyword is used to define a conditional branch?",null,null,null,if,Ruby,control flow,fill in the blank
664,What is the purpose of the else clause in an if statement in Ruby?,null,null,null,To execute a block of code if the condition is false.,Ruby,control flow,fill in the blank
665,"In Ruby, what is the scope of a local variable defined inside a block or method?",null,null,null,Block or method scope,Ruby,control flow,fill in the blank
666,Which of the following loops in Ruby will always execute at least once?,null,null,null,until,Ruby,control flow,fill in the blank
667,What is the purpose of the next keyword in a loop in Ruby?,null,null,null,Skips the current iteration and continues with the next.,Ruby,control flow,fill in the blank
668,"In Ruby, what does the elsif keyword allow you to do in an if statement?",null,null,null,Combine multiple conditions in a single if statement.,Ruby,control flow,fill in the blank
669,Which keyword is used to define a method in Ruby?,null,null,null,def,Ruby,control flow,fill in the blank
670,What does the case keyword allow you to do in Ruby?,null,null,null,Create a switch statement for multiple conditional branches.,Ruby,control flow,fill in the blank
671,"In Ruby, which loop is used to iterate over a collection of elements like an array or a range?",null,null,null,each,Ruby,control flow,fill in the blank
672,What does the unless keyword do in Ruby?,null,null,null,It reverses the meaning of an if condition.,Ruby,control flow,fill in the blank
673,When is the unless clause executed in Ruby?,null,null,null,When the condition is false.,Ruby,control flow,fill in the blank
674,What is the purpose of the retry keyword in Ruby?,null,null,null,It repeats the loop from the beginning.,Ruby,control flow,fill in the blank
675,How do you define a one-line conditional statement in Ruby?,null,null,null,code if condition,Ruby,control flow,fill in the blank
676,What does the unless keyword in Ruby typically work well with?,null,null,null,Negative conditions,Ruby,control flow,fill in the blank
677,"In Ruby, which keyword is used to prematurely exit a loop iteration and jump to the next iteration?",null,null,null,next,Ruby,control flow,fill in the blank
678,What is the purpose of the while keyword in Ruby?,null,null,null,"It specifies a condition that, if true, allows code to execute.",Ruby,control flow,fill in the blank
679,Which keyword is used in Ruby to catch and handle exceptions?,null,null,null,begin,Ruby,control flow,fill in the blank
680,What is the purpose of the case statement in Ruby?,null,null,null,It creates a switch statement to select between multiple code blocks.,Ruby,control flow,fill in the blank
681,How do you create an empty array in Ruby?,null,null,null,array = [],Ruby,declaration,fill in the blank
682,What is the correct way to declare a variable in Ruby?,null,null,null,x = 5,Ruby,declaration,fill in the blank
683,Which of the following is a valid way to declare an empty array in Ruby?,null,null,null,array = [],Ruby,declaration,fill in the blank
684,How do you declare a constant variable in Ruby?,null,null,null,ConstantVar = 42,Ruby,declaration,fill in the blank
685,What is the correct syntax for declaring and initializing a Ruby hash (dictionary)?,null,null,null,hash = {},Ruby,declaration,fill in the blank
686,"To declare a variable in Ruby with global scope, you would prefix the variable name with:",null,null,null,$,Ruby,declaration,fill in the blank
687,How do you declare a local variable in Ruby within a method or block?,null,null,null,local_var,Ruby,declaration,fill in the blank
688,What is the correct way to declare a class variable in Ruby?,null,null,null,@@class_var,Ruby,declaration,fill in the blank
689,"In Ruby, how would you declare a string containing special characters without interpreting them?",null,null,null,raw_string',Ruby,declaration,fill in the blank
690,"To declare a range of numbers from 1 to 10 in Ruby, you would use:",null,null,null,(1..10),Ruby,declaration,fill in the blank
691,"When declaring a symbol in Ruby, which syntax is typically used?",null,null,null,:SymbolName,Ruby,declaration,fill in the blank
692,How do you declare a variable in Ruby with instance scope within a class or module?,null,null,null,@instance_var,Ruby,declaration,fill in the blank
693,Which syntax is used to declare a new instance of a class in Ruby?,null,null,null,ClassName.new(),Ruby,declaration,fill in the blank
694,What is the correct way to declare an empty set (a unique collection of elements) in Ruby?,null,null,null,set = Set.new,Ruby,declaration,fill in the blank
695,"To declare a multi-line string in Ruby without interpreting escape sequences, which syntax should you use?",null,null,null,<<-EOT ... EOT,Ruby,declaration,fill in the blank
696,"When declaring a local variable in a method or block, which character is used to scope the variable to the block?",null,null,null,#,Ruby,declaration,fill in the blank
697,"In Ruby, which data structure allows you to associate keys with values and is similar to a Python dictionary?",null,null,null,Hash,Ruby,declaration,fill in the blank
698,"To declare an empty array and assign it to a variable named ""my_array"" in a single line, you would write:",null,null,null,my_array = [],Ruby,declaration,fill in the blank
699,How do you declare a constant variable within a class or module in Ruby?,null,null,null,CONSTANT_VAR = 42,Ruby,declaration,fill in the blank
700,"To declare a string containing interpolation (variable substitution) in Ruby, which syntax is commonly used?",null,null,null,"""String with #{variable} interpolation""",Ruby,declaration,fill in the blank
701,"To add an element to the end of an array in Ruby, you would use:",null,null,null,array << element,Ruby,data structures,fill in the blank
702,"In a singly linked list, what is the name of the reference to the next node?",null,null,null,next_node,Ruby,data structures,fill in the blank
703,How can you remove the last element from an array in Ruby?,null,null,null,array.pop,Ruby,data structures,fill in the blank
704,"In a binary tree, the top node is commonly referred to as the:",null,null,null,Root,Ruby,data structures,fill in the blank
705,What data structure in Ruby is similar to a stack and follows the Last-In-First-Out (LIFO) principle?,null,null,null,Array,Ruby,data structures,fill in the blank
706,Which Ruby data structure allows key-value pairs and does not allow duplicate keys?,null,null,null,Hash,Ruby,data structures,fill in the blank
707,What method is used to add an element to the beginning of an array in Ruby?,null,null,null,array.unshift(element),Ruby,data structures,fill in the blank
708,Which data structure is used to represent a collection of elements with no specific order or duplicates in Ruby?,null,null,null,Set,Ruby,data structures,fill in the blank
709,How do you check if a key exists in a Ruby hash?,null,null,null,hash.key?(key),Ruby,data structures,fill in the blank
710,What is the primary data structure in Ruby for storing key-value pairs?,null,null,null,Hash,Ruby,data structures,fill in the blank
711,Which method is used to remove the first element from an array in Ruby?,null,null,null,array.shift,Ruby,data structures,fill in the blank
712,"In a singly linked list, which node is typically used as the entry point to traverse the list?",null,null,null,Head,Ruby,data structures,fill in the blank
713,What is the Ruby data structure that represents an ordered collection of elements with duplicates allowed?,null,null,null,Array,Ruby,data structures,fill in the blank
714,Which data structure in Ruby is used to implement a First-In-First-Out (FIFO) order?,null,null,null,Queue,Ruby,data structures,fill in the blank
715,"To add an element to the end of an array in Ruby, which method is commonly used?",null,null,null,array.push(element),Ruby,data structures,fill in the blank
716,"In a binary tree, what is the maximum number of children a node can have in a typical binary tree?",null,null,null,2,Ruby,data structures,fill in the blank
717,Which Ruby data structure is used to represent an unordered collection of unique elements?,null,null,null,Set,Ruby,data structures,fill in the blank
718,What method is used to check if an element is included in an array in Ruby?,null,null,null,array.include?(element),Ruby,data structures,fill in the blank
719,"In a linked list, what is the time complexity for inserting an element at the end of the list?",null,null,null,O(1),Ruby,data structures,fill in the blank
720,"In a binary search tree, which property ensures that all nodes in the left subtree are less than the root node, and all nodes in the right subtree are greater than the root node?",null,null,null,Binary search tree property,Ruby,data structures,fill in the blank
